"ID","Pi","Inventaire","Famille","Catégorie","Forme","Type","Période","Texte","Bibliographie","secteur","secteur_ID","x","y"
"ETHVII1",1200,"55-262","fine","rhodienne","bol","bol à oiseau","archaïque","BOL A OISEAU, en grande partie refait en plâtre.
Diam. 18,7 cm env. ; haut. probable 8,3 cm. Argile chamois. Intérieur, vernis noir brunâtre. Extérieur : trois compartiments sur chaque face : au centre, un oiseau quadrillé ; dans le champ, cercle pointé et triangle ; dans les compartiments latéraux, losange quadrillé. Sur le bas du vase, vernis noir et filets réservés. Pour les bols de cette espèce : cf. Dugas, Expl. Arch. Délos, XV, pl. 48, n° 29. [localisation du secteur d'après inventaire musée]","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 17, no 1, pl. I, 1","Agora",33,24.713265110,40.779964269
"ETHVII2",1108,"D 223","fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENTS (2) DE BOL A OISEAU.
Larg. max. 2,2 cm ; haut. max. 2,3 cm. Argile chamois clair. Intérieur, vernis noir brunâtre. Extérieur : oiseau quadrillé à droite.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 2 pl. I, 2",,,,
"ETHVII3",,"55-150","fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENT DE BOL A OISEAU.
Larg. max. 2,8 cm ; haut. max. 2,2 cm. ; ép. 0,4 cm. Argile chamois clair. Intérieur, vernis noir. Extérieur : oiseau quadrillé à droite, au-dessous trois filets rouges.
Deux autres fragments, 55-148 et 55-149, très érodés, appartiennent peut-être au même vase.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 3, pl. I, 3","Agora 1955",77,24.713761009,40.779568773
"ETHVII4",376,,"fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENT DE BOL A OISEAU.
Larg. max. 2,4 cm ; haut. max. 2 cm. Argile chamois. Intérieur vernis noir brunâtre. Extérieur : oiseau quadrillé à droite, dans le champ en haut, triangle.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 4, pl. I, 4",,,,
"ETHVII5",,"55-264","fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENT DE BOL A OISEAU.
Larg. max. 4,3 cm ; haut. max. 3,2 cm. Argile grisâtre. Intérieur vernis noir. Extérieur : losange quadrillé dans métope. Le rebord du bol est légèrement en retrait.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 5, pl. I, 5","Agora 1955",77,24.713761009,40.779568773
"ETHVII6",,"55-263","fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENT DE BOL A OISEAU.
Larg. max. 4,5 cm ; haut. max. 2,6 cm. Argile chamois. Intérieur, vernis noir. Extérieur, losange quadrillé dans une métope.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 6, pl. I, 6","Agora 1955",77,24.713761009,40.779568773
"ETHVII7",375,,"fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENT DE BOL A OISEAU. 
Larg. 4,5 cm ; haut. max. 3 cm. Semblable au précédent ; 2 filets noirs au-dessous du losange.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 7, pl. I, 7 ; BCH, 75(1951), p. 179 fig. 88 a",,,,
"ETHVII8",," 55-32","fine","rhodienne","bol","bol à oiseau","archaïque","FRAGMENT DE BOL A OISEAU.
Larg. max. 7,5 cm. env. Argile chamois grisâtre. Intérieur, vernis noir brunâtre. Fond de bol à arêtes rayonnantes en étoile.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 8, pl. I, 8",,,,
"ETHVII9",973,"H 140","fine","wild goat","oenochoé",,"archaïque","FRAGMENT D'OENOCHOÉ.
Haut. max. 6 cm ; larg. max. base 5,1 cm ; ép. 0,8 cm. Argile rouge grisâtre. Intérieur réservé. A l'extérieur, la surface est claire, avec traces d'une mince couverte ; décor de fleur de lotus épanouie. La forme peu élevée est assez ancienne. Style rhodien (« wild goat ») de la période moyenne. Cf. l'oenochoé du Louvre A 316, Pottier, Vases antiques, pl. 12.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 9, pl. I, 9",,,,
"ETHVII10",1217,"55-200","fine","wild goat","oenochoé",,"archaïque","FRAGMENT D'OENOCHOÉ (épaule).
Larg. Max. 3,4 cm. ; haut. Max. 6,7 cm. Argile chamois, micacée. Intérieur réservé. Extérieur, engobe très érodé. Griffon à gauche ; au-dessus, bande noire. Style rhodien (« wild goat ») assez tardif.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 10, pl. I, 10","Agora 1955",77,24.713761009,40.779568773
"ETHVII11",,"H 31","fine",,"amphore",,"archaïque","FRAGMENT D'AMPHORE.
Larg. max. 3,3 cm ; haut. 7,8 cm ; ép. 0,55 cm. Argile orange grisâtre. Intérieur réservé. Extérieur, engobe blanc jaunâtre. Décor en zones superposées : pattes de fauve à droite, gros points noirs entre filets noirs de part et d'autre, enfin godrons.
Style apparenté au rhodien mais comparable aussi au mélien. Pourrait être local.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 18, no 11, pl. I, 11",,,,
"ETHVII12",,"H 181","fine","wild goat","amphore",,"archaïque","FRAGMENT D'OENOCHOÉ, D'AMPHORE OU D'HYDRIE.
Dimensions : 4,5 cm x 3,7 cm ; ép. 0,37 cm. Argile chamois assez pâle. Intérieur réservé. Extérieur, traces d'engobe. Décor : croix gammée aux branches recourbées, dents de loup, croix pointée et arrière-train d'un chien vers la droite.
Apparenté au style rhodien (« wild goat »). Pourrait être local.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 12, pl. I, 12",,,,
"ETHVII13",489,,"fine",,"oenochoé",,"archaïque","FRAGMENT D'OENOCHOÉ.
Larg. max. 11,5 cm ; haut. max. 5,1 cm. ; ép. 0,7 cm. Argile orange micacée. Intérieur réservé. Extérieur, engobe blanc crème. Oiseaux à droite ; dans le champ, croix et godrons ; au-dessous, trois filets. Le vernis noir est brunâtre. Rehauts violets sur l'oiseau de droite. Apparenté au style rhodien mais comparable aussi au mélien. Pourrait être local.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 12 bis, pl. I, 12 bis","Champ Sklirou-Joannou, 1913",,,
"ETHVII14",838,,"fine","rhodienne","oenochoé",,"archaïque","FRAGMENT DE BASE D'OENOCHOÉ.
Larg. max. 7,4 cm ; haut. max. 3,5 cm. Argile rouge brun, micacée. Extérieur, engobe blanc. Décor de rayons en vernis noir brunâtre ; sur la base, chevrons. Rhodien ou apparenté.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 13, pl. II, 13. ; BCH 79, 1955, p. 370, fig. 53","Passage desThéores, 1954",65,24.714423077,40.779916495
"ETHVII15",,"D 263",,,"oenochoé",,"archaïque","FRAGMENT DE GRANDE OENOCHOÉ.
Larg. max. 11,2 cm ; haut. max. 6,3 cm. Argile chamois rosé, micacée. Intérieur réservé. A l'extérieur, trace d'engobe presqu'entièrement disparue. Décor d'arêtes rayonnantes,
partant de la base, en vernis noir très érodé. A l'intersection du bas de la panse et de la base, bande circulaire en vernis noir.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 14, pl. II, 14",,,,
"ETHVII16",,"D 800 53-417",,,"plat",,,"FRAGMENT DE PLAT.
Dimensions : 7,5 cm x 7 cm ; ép. 1,1 cm. Engobe sur toute la surface mais très érodé au-dessous. Le dessous est décoré de bandes en vernis brunâtre. Dessus, décor de tresse,
lignes rayonnantes, filets en vernis noir brunâtre qui bordent deux bandes noires, puis début d'un autre décor. Deux filets rouges sur les bandes noires circulaires. Style rhodien de Camiros. A dater des environs de 610.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 15, pl. II, 15",,,,
"ETHVII17",1253,"H 147",,,"plat",,,"FRAGMENT DE PLAT.
Larg. max. 6,3 cm ; haut. max. 3,5 cm ; ép. 0,55 cm. Argile rougeâtre près de la surface, grisâtre à l'intérieur. Engobe blanchâtre posé partout. Seul le dessus du plat porte un décor
en vernis noir brunâtre : godrons sur le marli. Sur le plat, points de grosseurs diverses entourés de cercles, et cercles concentriques limités par deux bandes de vernis noir qui vont s'élargissant. Apparenté au style rhodien tardif (type d'Euphorbos). Style négligé, pourrait être local.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 16, pl. II, 16 ; profil pl. A",,,,
"ETHVII18",,"H 146",,,"assiette?",,,"FRAGMENT D'ASSIETTE (?).
Dimensions : 13 cm x 7 cm ; ép. 0,7 cm. Argile gris brunâtre. Pas d'engobe, peut-être une très légère couverte. Languettes sur la tranche ; à l'intérieur, deux larges bandes en vernis noir peu lustré. L'extérieur est orné de chiens courants sur le rebord, puis d'une zone de godrons encadrés, suivie d'une zone avec ove, spirale et rosace à croix et à points. Apparenté au style rhodien tardif. A rapprocher aussi du mélien. Pourrait être
une imitation locale.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 19, no 17, pl. II, 17",,,,
"ETHVII19",490,,,,"assiette?",,,"FRAGMENT D'ASSIETTE (?).
Larg. max. 5 cm ; haut. max. 3,9 cm ; ép. 0,8 cm. Argile chamois brunâtre. Engobe blanchâtre à l'extérieur. Sur la tranche, languettes ; à l'intérieur, large bande noire. A l'extérieur, languettes sur le rebord ; patte arrière de cervidé à gauche avec divers motifs de remplissage : rosace à croix et à points, ove réservée (horse-shoe) et méandre. A rapprocher aussi du mélien. Pourrait être une imitation locale.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 20, no 18, pl. II, 18","Champ Sklirou-Joannou 1913.",,,
"ETHVII20",,"H 215",,,"assiette",,,"FRAGMENT D'ASSIETTE.
Dimensions : 4,6 cm x 4,2 cm ; ép. 0,65 cm. Argile rouge orange micacée. Engobe blanchâtre sur toute la surface. A l'intérieur, rebord noir, décor de fleur de lotus. A l'extérieur, bandes circulaires en vernis brunâtre. A comparer à des assiettes à pied haut de Délos, Dugas, Expl. Arch. Délos, XVII, pl. XLV, 33 a et b. Apparenté au style rhodien.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 20, no 19, pl. II, 19",,,,
"ETHVII21",,"H 142",,,"assiette",,,"FRAGMENT D'ASSIETTE.
Dimensions : 7 cm x 8 cm ; ép. 0,85 cm. Argile brun pâle, micacée. Engobe blanchâtre très érodé sur toute la surface. Le vernis est brun mat. A l'intérieur, décor de lignes circulaires,
d'oves réservées puis d'une fleur de lotus très négligée (?). A l'extérieur, bandes circulaires en vernis brunâtre.
Forme et technique comparables au n° 19. Cf. aussi Larisa, III, pl. 36, n° 14.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 20, no 20, pl. II, 20",,,,
"ETHVII22",,"D 778 53-181",,,"assiette",,,"FRAGMENT D'ASSIETTE.
Dimensions : 4,6 cm x 3,5 cm ; ép. 0,92 cm. Argile gris chamois à l'intérieur, rosé sur les bords, micacée. Traces d'engobe. A l'intérieur, décor presque effacé, peut-être lotus ; à l'extérieur, bandes noires circulaires. Apparenté au style rhodien.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 20, no 21, pl. II, 21",,,,
"ETHVII23",981,"H 103",,,"lékané",,,"FRAGMENT DE LÉKANÉ.
Dimensions : 7,2 cm x 5 cm ; ép. 0,8 cm. Argile rougeâtre à l'extérieur, grise à l'intérieur Intérieur, vernis noir. Extérieur recouvert d'un engobe blanc jaunâtre. Deux zones d'animaux 
séparées par une série de points alternés entre deux lignes noires de chaque côté. Sur une zone, on distingue une partie d'un oiseau (perdrix) à droite, précédé d'un fauve dont il ne 
reste qu'une patte arrière ; dans le champ, quatre points en losange ; au-dessous, il ne demeure de la deuxième zone qu'un arrière-train de fauve à gauche et plusieurs éléments de remplissage : rosaces, triangle, points en losange. Traces de rehauts rouges. Pas d'incisions. A rapprocher des fragments trouvés à l'Héraion de Samos (ph. D. Inst. 1180 Athen). La technique est comparable à celle des fragments d'Asie Mineure, tels que pl. XIV, nos 6, 7-8, mais qui sont dépourvus d'engobe. Style rhodien (« wild goat ») ou apparenté.  [Π 981 annotation au crayon sur l'ouvrage.]","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 20, no 22, pl. II, 22 ; Anne Coulié p. 28 no 59","avant 1940",,,
"ETHVII24",1021,"H 14",,"rhodien","cratère",,,"FRAGMENT DE DINOS OU CRATÈRE. 
Diam. 6,7 cm ; haut. 5,7 cm ; ép. 0,75 cm. Argile rouge brunâtre micacée. Intérieur, vernis noir brunâtre. Extérieur, engobe blanc jaunâtre ; décor en vernis brun : avant-train de bouquetin à droite, tête retournée en arrière ; rosace et éléments de remplissage. Style rhodien (type d'Euphorbos, cf. Schiering, op. cit., pl. XII, 3).","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 20, no 23, pl. II, 23",,,,
"ETHVII25",956,"H 301",,"rhodien","cratère",,,"FRAGMENT D'ANSE DE CRATÈRE. 
Dimensions : 7,2 cm x 2,6 cm ; larg. Max. rebord 9 cm. Argile chamois rosé, micacée. Décor de volute en vernis brunâtre. Style rhodien assez tardif.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 24, pl. III, 24",,,,
"ETHVII26",,"H 148",,"rhodien","dinos",,,"FRAGMENT DU REBORD D'UN DINOS. 
Dimensions : 9,2 cm x 7,7 cm ; ép. 0,7 cm env. Argile micacée grisâtre à l'intérieur ; surface plus claire allant vers le chamois. Il semble ne point y avoir d'engobe ou de couverte. Intérieur réservé, à l'exception d'une bande de vernis brunâtre juste au-dessous de la margelle ; sur la tranche, arêtes et bandes noires. Extérieur, large bande noire, puis filet noir ; au-dessous, croix gammées aux bras arrondis et cercles concentriques. Apparenté au style rhodien tardif ; probablement une imitation locale.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 25, pl. III, 25 ; profil, pl. A",,,,
"ETHVII27",,"H 15",,"rhodien","bol","wild goat",,"FRAGMENT D'UN BOL (?).
Larg. max. 4,6 cm ; haut. max. 3,9 cm ; ép. 0,55 cm. Argile micacée brunâtre. Intérieur, vernis noir. A l'extérieur, sur une surface plus claire assez érodée, probablement enduite d'une légère couverte, décor en vernis brun noir ; croix gammée se terminant en méandre ; panneau réticulé. Style rhodien (« wild goat »).","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 26, pl. III, 26",,,,
"ETHVII28",,"H 90",,"rhodien","lékané","wild goat",,"FRAGMENT DE LÉKANÉ.
Dimensions : 3,8 cm x 2,7 cm ; ép. 0,55 cm. Argile chamois pâle micacée. A l'intérieur, vernis noir et deux lignes de rehauts rouges. A l'extérieur, décor composé d'une croix gammée à enroulements, d'un pied de bouquetin à droite, d'une rosace à quatre feuilles. Style rhodien («wild goat»).","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 27, pl. III, 27 ; Anne Coulié p. 46 no 11",,,,
"ETHVII29",,"D 732 ; 53-93",,"rhodien","fragment",,,"FRAGMENT.
Larg. max. 5 cm ; haut. 4 cm ; ép. 0,45 cm. Argile grisâtre. Intérieur réservé. Extérieur, engobe crème. Animal courant à gauche (loup ou chien) ; au-dessous, tresse. Apparenté au rhodien.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 28, pl. III, 28",,,,
"ETHVII30",,"D 791, 53-383",,,"grand vase",,,"ANSE TRIFIDE D'UN GRAND VASE.
Long. max. 5,9 cm ; larg. max. 4,2 cm. Argile chamois rosé micacée. Extérieur, engobe blanc ; vernis noir mat sur l'attache et languettes transversalement sur l'anse. Rhodien ou apparenté. Pour des anses semblables, cf. Lambrino, Histria, p. 270, fig. 246","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 29, pl. III, 29",,,,
"ETHVII31",,"D 631",,,"fragment",,,"FRAGMENT.
Larg. max. 3,3 cm ; long. 3,4 cm ; ép. 0,45 cm. Intérieur, vernis noir brunâtre. Extérieur, léger engobe blanchâtre. Corps d'un animal, chien ou loup courant à droite ; au-dessus, volute ; au-dessous, méandres. Rhodien ou apparenté.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 21, no 30, pl. III, 30",,,,
"ETHVII32",1023,"H 9",,,"amphore?",,,"FRAGMENT D'AMPHORE (?).
Larg. max. 4,5 cm ; haut. max. 4,7 cm ; ép. 0,45 cm. Argile orangée, friable, peu micacée. Intérieur réservé. Extérieur, engobe blanchâtre. Danseur à gauche, tenant en main une branche de lierre ; à droite, amorce d'un second personnage semblable. Au-dessus, zone de chevrons, limitée en bas par un filet et de petites languettes.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 22, no 1, pl. III, 1",,,,
"ETHVII33",994,"H 27",,,"fragment",,,"FRAGMENT D'UN GRAND VASE A FAIBLE COURBURE.
Dimensions : 10 cm x 5,4 cm ; ép. 0,8 cm. Argile grise à l'intérieur, brun rouge sur les bords. Intérieur réservé. Extérieur, engobe blanc jaunâtre. Décor de palmette et spirales en vernis noir brun.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 22, no 2, pl. III, 2",,,,
"ETHVII34",," D 886 53-616",,,"amphore",,,"FRAGMENT D'AMPHORE.
Larg. max. 7,1 cm ; haut max. 5,9 cm ; ép. 0,52 cm. Argile chamois. Intérieur réservé. Extérieur, engobe crème. Palmette et spirales en vernis brun mat.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 22, no 3, pl. III, 3",,,,
"ETHVII35",,"H 139",,,"amphore",,,"FRAGMENT D'AMPHORE.
Larg. max. 9 cm ; haut. max. 7,7 cm ; ép. 0,85. Argile chamois. Intérieur réservé. Extérieur, engobe crème. Décor de spirales en vernis brun mat ; patte postérieure de cervidé à droite ; au-dessous, zone de chiens courants, puis corne de cerf (?).","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 22, no 4, pl. III, 4",,,,
"ETHVII36",,"A 201","fine","mélienne","cratère",,,"FRAGMENT DE CRATÈRE.
Larg. max. 7,8 cm ; haut. max. 4,2 cm ; ép. 0,85 cm. Argile orange grise, micacée. Intérieur, vernis noir brunâtre, sauf le haut de la bordure qui est réservé. Extérieur, engobe blanc jaunâtre. Décor : à gauche, tête de sphinx de profil vers la droite, langue pendant hors de Ia bouche, ruban flottant vers l'avant ; à droite, palmette et spirale. Incisions pour la langue. Rehauts rouges formant le bandeau au-dessus des boucles du sphinx.
Fin du viie siècle.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 23, no 1, pl. III, 1","Champ Sklirou-Joannou 1913.",,,
"ETHVII37",1015,"H 7",,,"cratère",,,"FRAGMENT DU REBORD D'UN CRATÈRE.
Larg. max. 5,5 cm ; haut. max. 8 cm ; ép. 1 cm. Argile grise à l'intérieur, orangée près des bords, micacée. Intérieur réservé. Extérieur, engobe blanc-jaunâtre. Sur le rebord, en saillie, languettes ; sur la tranche horizontale, deux bandes noires. Représentation d'une tête humaine à gauche, croix gammée, tresse dans panneau ; dans l'angle, quart de rosace, et amorce d'un autre panneau. A rapprocher de l'amphore mélienne avec Apollon et Artémis au Musée National
d'Athènes, Buschor, Griech. Vasen, p. 56, fig. 66, Pfuhl, MZ, fig. 108.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 23, no 2, pl. III, 2",,,,
"ETHVII38",1016,"H 13",,,"cratère",,,"FRAGMENT DU REBORD D'UN CRATÈRE.
Larg. max. 11 cm ; haut. max. 8 cm ; ép. max. 1,6 cm. Argile grise à l'intérieur, orangée près des bords, micacée. Intérieur réservé. Extérieur, engobe blanchâtre ; sur la tranche horizontale traces de bandes noires. Décor en vernis brunâtre : godrons encadrés, croix terminée par points, rosace. Haut d'une tête de lion à droite ; rehauts violets et incisions sur la crinière.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 23, no 3, pl. IV, 3",,,,
"ETHVII39",," 55-38",,,"cratère",,,"FRAGMENT DU REBORD D'UN CRATÈRE.
Larg. max. 7,8 cm ; haut. max. 4,3 cm. Même argile. Engobe blanc crème. Sur le rebord, languettes verticales, puis lignes verticales et spirales.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 23, no 3 bis, pl. IV, 3 bis",,,,
"ETHVII40",1287,"D 639 ; 53-611",,,"cratère",,,"FRAGMENT DE PANSE DE CRATÈRE.
Larg. max. 2,6 cm ; haut. max. 3,8 cm ; ép. 0,6 cm. Même argile. Engobe blanc crème. Au-dessous d'une zone de godrons encadrés, à droite d'une rosace, tête de profil à droite. Rehauts blancs pour l'oeil, couverte marron clair sur la chair du visage ; rehauts rouges pour le bandeau dans les cheveux, et traces de rehauts rouges au bas de la chevelure. Incisions pour les mèches de cheveux et le contour du bandeau.
Ces incisions nombreuses pourraient faire douter de l'origine mélienne de ce fragment, la céramique mélienne utilisant peu en principe la technique de l'incision, et la remplaçant généralement par les lignes réservées. Cependant, la techniquede l'engobe, et surtout l'allure de la tête, sont typiquement méliennes.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 23-24, no 4, pl. IV, 4",,,,
"ETHVII41",1289,"D. 466 ; 53-353",,,"cratère",,,"FRAGMENT DE CRATÈRE.
Larg. max. 6,1 cm ; haut. max. 7,1 cm ; ép. 1,3 cm env. Décor de godrons encadrés, puis zone de chevrons, et chevelure d'une tête de profil à gauche.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 5, pl. IV, 5",,,,
"ETHVII42",1040,"D. 782 ; 53-176",,,"cratère",,,"FRAGMENT DE LA BASE D'UN CRATÈRE.
Larg. max. 9,2 cm ; haut. max. 4,7 cm. Palmette renversée ; lignes circulaires et méandres.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 6, pl. IV, 6",,,,
"ETHVII43",997,"H 28",,,"cratère",,,"FRAGMENT DE CRATÈRE.
Larg. max. 7,1 cm ; haut. max. 9,1 cm ; ép. 1,05 cm. Spirale, filets.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 7, pl. IV, 7",,,,
"ETHVII44",964,"H 35",,,"cratère",,,"FRAGMENT DE CRATÈRE.
Dimensions : 11,7 cm x 7,8 cm ; ép. 1,4 cm. Spirale et quadrillage.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 8, pl. IV, 8",,,,
"ETHVII45",,"H 42",,,"cratère",,,"FRAGMENT DE CRATÈRE.
Dimensions : 6,3 cm x 4,8 cm ; ép. 1 cm. Argile orange, micacée. Intérieur réservé. Extérieur, engobe blanc jaunâtre. Décor de spirale et losange quadrillé en vernis brunâtre.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 9, pl. IV, 9",,,,
"ETHVII46",23,,,,"cratère",,,"FRAGMENT DE CRATÈRE.
Dimensions : 9 cm x 5,8 cm ; ép. 1,3 cm. Intérieur réservé. Extérieur, engobe blanc jaunâtre. Décor de palmette entre spirales.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 10, pl. IV, 10","1931",,,
"ETHVII47",17,,"fine","mélienne","cratère",,,"FRAGMENT DE CRATÈRE.
Dimensions : 7,7 cm x 8,5 cm ; ép. 0,85 cm. Intérieur réservé. Extérieur, mince engobe jaune chamois. Décor de losange quadrillé entre deux spirales.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p.  24, no 11, pl. IV, 11 ; M. Launey, Le sanctuaire et le culte d'Héraclès à Thasos, Paris, Etudes thasiennes 1, 1944, p. 117. fig. 72, no 1","Héracléion, édifice polygonal",151,24.711282619,40.776801443
"ETHVII48",84,,,,"cratère",,,"FRAGMENT DE CRATÈRE.
Dimensions : 12,8 cm x 3,5 cm ; ép. 1,45 cm. Intérieur réservé. Extérieur, engobe blanchâtre. Décor, partie d'une palmette et d'une spirale.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 12, pl. IV, 12",,,,
"ETHVII49",322,,,,"cratère",,,"FRAGMENT DE CRATÈRE.
Larg. max. 13 cm ; haut. max. 10,5 cm ; ép. 1,1 cm. Intérieur réservé. Extérieur, traces de couverte, décor en vernis brun mat, deux spirales, et entre elles, quadrillage surmonté d'une palmette ; au-dessous, filets horizontaux et début d'arêtes.","Lilly Ghali-Kahil, La céramique grecque (fouilles 1911-1956), Paris, De Boccard, Etudes thasiennes 7, 1960, p. 24, no 13, pl. V, 13",,,,
