"ID","Référence tesson","Forme","Origine","Type","Catégorie","Decor","Analyse","Secteur","Lieu","Contexte Stratigraphie","Stratigraphie US","Date US","Datation","Photo","profil","Publication","secteur_ID","x","y"
"PdS71.2665","Porte du Silène 71 2665","Plat","Thasienne","THAS.5","VN",,,"Porte du Silène","Rue du rempart tronçon occidental",,"Fosse contre le rempart s. 57,60,339,352,354 (E1)",,,,,,197,24.712791306,40.774655185
"VAL84.0174.0024[2]","Valma 84 0174 0024 [2]","Coupelle à une anse","Thasienne","THAS. 1","CC",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14848",,51,24.714763980,40.780145908
"PdS74.2128","Porte du Silène 74 2128","Chytra","Thasien",,,,,"Porte du Silène","Ib3",,,,,,"np_19403",,197,24.712791306,40.774655185
"PdS75.0321","Porte du Silène 75 0321","Skyphos","Attique",,,,,"Porte du Silène","Ia4",,,,,,"np_19402",,197,24.712791306,40.774655185
"PdS72.0065bis","Porte du Silène 72 0065 bis","Cruche","Thasienne","THAS. 1B","CC",,"THG108 (altéré)","Porte du Silène","Ia1","3.7","Période 4, phase 2","Deuxième quart","C - D",,"np_12283_07_b","GRANDJEAN 1988, p.",197,24.712791306,40.774655185
"PdS77.2515","Porte du Silène 77 2515","Coupe à une anse","Thasienne","THAS.  2","CC",,,"Porte du Silène","Ib5","4.22","Période 4, phase 2, couche 12","Vie s., surtout Ve s. :","C - D",,"np_11826_b",,197,24.712791306,40.774655185
"PdS74.0593","Porte du Silène 74 0593","Support de marmite","Thasien",,,,,"Porte du Silène","Ia","3.1","Période 3, phase 2, recharges du sol III","Trouvé dans un amas de pierres à fonction drainante sur lequel avait été installé le sol III, au début du Ive s. Cet objet est associé à une céramique qui s'échelonne entre le Vie et la fin du Ve s.",,,"np_11736","GRANDJEAN, BCH 109 (1985), fig. 3 et 4, p. 266-267, cat. 2 ; BLONDÉ, ÉtThas 20, pl. 74, 8.",197,24.712791306,40.774655185
"PdS72.1311","Porte du Silène 72 1311","Canthare",,,,,,"Porte du Silène","Ia1","3.8","Période 4, phase 3, fosse à partir de du sol VI.",,,,"np_11732_b",,197,24.712791306,40.774655185
"PdS72.0158","Porte du Silène 72 0158","Lampe","Thasien",,,,,"Porte du Silène","Ia1","3.10","Période 4, phase 4, sol VIII",,,,"np_11732_a",,197,24.712791306,40.774655185
"PdS72.1295","Porte du Silène 72 1295","Coupe-skyphos","Thasien",,,,,"Porte du Silène","Ib1","4.8**","Période 4, phase 3, sol IK et substrat couche 12",,,,"np_11721",,197,24.712791306,40.774655185
"PdS72.0096","Porte du Silène 72 0096","Bolsal","Attique",,,,,"Porte du Silène","Ia1","3.2 et 3.3","Période 3, phase 2, sol IV et substrat c. 8.","Beaucoup de tessons du Ve s. et de la première moitié du Ive s.",,,"np_11720_b",,197,24.712791306,40.774655185
"PdS72.1235","Porte du Silène 72 1235","Coupe-Skyphos","Attique","ATT.2","VN",,,"Porte du Silène","Ia (ABDE)","3.2","Période 3, phase 2, couche 8, entre sol III et sol I.","Le matériel appartient pour une bonne part au Ve s., mais en assez grande proportion aussi à la première moitié du Ive s.","B - C",,"np_11712_a","GRANDJEAN 1988, p. 91, pl. 37,5.",197,24.712791306,40.774655185
"PdS75.4485","Porte du Silène 75 4485","Coupelle","Attique","ATT. 1","VN",,,"Porte du Silène","Ib1","4.7","Période 4, phase 2,","Du","D",,"np_11707_a",,197,24.712791306,40.774655185
"PdS72.0173","Porte du Silène 72 0173","Skyphos",,,,,,"Porte du Silène","Ia (pièce ABDE)","3.1","Période 3, phase 2, recharges du sol III","Les éléments les plus récents attribuables à la première moitié du Ive s. (sol III : début du Ive s.).",,,"np_11706_b","GRANDJEAN 1988, p. 89, pl. 36.7.",197,24.712791306,40.774655185
"PdS74.0547","Porte du Silène 74 0547","Lampe","Attique",,,,,"Porte du Silène","Ia1","3.1","Période 3, phase 2, substrat du sol du sol III (couche 7)","Les éléments les plus récents attribuables à la première moitié du Ive s.",,"N388_010","np_11705","BLONDÉ, ÉtThas 20, pl. 41, 1.",197,24.712791306,40.774655185
"PdS71.1397","Porte du Silène 71 1397","Lampe","Thasien",,,,,"Porte du Silène","Ia (pièce 1)","3.26","Couche de destruction de la maison.","(Vie, Ve s.), Ive s. et début ou même première moitié du IIIe s.",,,"np_11703","BLONDÉ, ÉtThas 20, pl. 46, 8.",197,24.712791306,40.774655185
"PdS75.4483","Porte du Silène 75 4483","Bolsal","Attique","ATT. 1","VN",,,"Porte du Silène","Ib1","4.7","Période 4, phase 2,","Cf","C - D",,"np_11696_b",,197,24.712791306,40.774655185
"PdS73.3755","Porte du Silène 73 3755","Coupe sans anse",,,,,,"Porte du Silène","Ib (pièce 5)","4.30","Couche de destruction de la maison.","(Vie, Ve s.), Ive s. et début ou même première moitié du IIIe s.",,,"np_10230_m(ii)","GRANDJEAN  1988, p. 193, pl. 63,1",197,24.712791306,40.774655185
"PdS75.2181+2258+","Porte du Silène 75 2181 + 2258 +","Bolsal","Attique","ATT.",,,,"Porte du Silène","Ib7","trouvé en 4.28, mais appartient (cf. tessons jointifs) à la couche 6 : 4.26","Période 4, phase 2, remblai couche 8 (",,,,"np_10230_c(i)","GRANDJEAN  1988, p. 169, pl. 59,8",197,24.712791306,40.774655185
"PdS72.0040","Porte du Silène 72 0040","Canthare",,,,,,"Porte du Silène","la1","3.8","Période 4, phase 3, fosse à partir du sol VI.","De ca 500 à ca 325","E",,,"GRANDJEAN  1988, p. 105, pl. 44, 6.",197,24.712791306,40.774655185
"VAL85.0093.0115","Valma 85 0093 0115","Support ?",,,,,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_15134",,51,24.714763980,40.780145908
"VAL84.0170.0019","Valma 84 0170 0019","Plat","Attique","ATT.5","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_15015","BLONDÉ, BCH 113 (1989) , cat. 16, fig. 5.",51,24.714763980,40.780145908
"VAL84.0227.0026","Valma 84 0227 0026","Plat","Attique","ATT.5","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14940","BLONDÉ, BCH 113 (1989) , cat. 15, fig. 5.",51,24.714763980,40.780145908
"VAL84.0174.0015","Valma 84 0174 0015","Plat","Attique","ATT. 1   ","VN ou FR",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14939","BLONDÉ, BCH 113 (1989) , cat. 85, fig. 10 ; BLONDÉ, ÉtThas 20, pl. 39, 4.",51,24.714763980,40.780145908
"VAL84.0119.0010","Valma 84 0119 0010","Lampe","Attique","ATT.2.6","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14906","BLONDÉ, BCH 113 (1989) , cat. 98, fig. 10 ; BLONDÉ, ÉtThas 20, pl. 44, 15.",51,24.714763980,40.780145908
"VAL84.0170.0027","Valma 84 0170 0027","Lampe","Attique","ATT.1.2","VN",,"THV32","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14905","BLONDÉ, BCH 113 (1989) , cat. 95, fig. 10",51,24.714763980,40.780145908
"VAL84.0194.0060","Valma 84 0194 0060","Lampe","Attique","ATT.3","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14898","BLONDÉ, BCH 113 (1989) , cat. 99, fig. 10",51,24.714763980,40.780145908
"VAL84.0174.0019","Valma 84 0174 0019","Lampe","Attique","ATT.2.2","VN",,"THV21","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14897","BLONDÉ, BCH 113 (1989) , cat. 93, fig. 1 ; BLONDÉ, ÉtThas 20, pl. 43, 8.",51,24.714763980,40.780145908
"VAL84.0174.0011","Valma 84 0174 0011","Skyphos","Thasien","THAS. 1","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14891","BLONDÉ, BCH 113 (1989) , cat. 132, fig. 12",51,24.714763980,40.780145908
"VAL84.0235.0050","Valma 84 0235 0050","Coupe-canthare","Attique","ATT.1",,"B6.3","THV14","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14862","BLONDÉ, BCH 113 (1989) , cat. 66, fig. 9",51,24.714763980,40.780145908
