"ID";"Description"
1243;"Quatorze fragments recollés par groupe de huit, de trois, de deux. Diam. du rebord : 40 cm. Argile chamois. Couverte légère, beige, encore visible sur le bord et la zone près du pied. Vernis plus souvent brun que noir. Profil fig. 5, p. 197. A 4352. Pl. Vll. Les fragments à l'anse montrent qu'un filet rouge rehaussait le plat du rebord, vers l'angle interne. Sur le rebord, de courts godrons d'un type ancien : chaque languette est cerclée d'un trait de contour indépendant de la base au sommet (cf .. 5); la languette de droite est rehaussée de rouge. Il n'y a pas de filet noir entre le bord et le rebord. Sur le bord des chevrons ; le quatrième à partir de la droite est rehaussé de rouge. En haut de la vasque, une bande vernie rehaussée de filets rouges et blancs. Sur la frise animalière, un sanglier à la crinière rehaussée de rouge vers la droite, affronté à une panthère, dont l'encolure, la Ligne du ventre et les gros points sur le corps sont rouges ; la tête de face très effacée est reconnaissable à son œil rond et au V sur le front : le plat 8 fournit un excellent parallèle. Le remplissage foisonnant est essentiel pour situer le peintre dans l'atelier. Les doubles spirales et les languettes pointées accrochées au cadre des filets, la volute au-dessus du dos du félin renvoient au passé cycladique. La file de points (au-dessus du sanglier) rappelle, très discrètement encore, le remplissage du Corinthien Moyen. La grosse rosette de points devant le félin reprend le motif typique du peintre chiote. La zone suivante est constituée d'un méandre continu, flanqué des mêmes bandes où alternent des filets bruns, blancs, rouges. Près du pied, les arêtes rayonnantes, larges et courtes, se terminent par un trait fin. Une seule présente des restes de rehaut rouge. À l'intérieur de la vasque, au moins un filet rouge près du bord et deux au niveau supérieur de la frise animalière."
1244;"Quatre fragments de vasque recollés et un fragment de bord. Un vase de taille comparable au précédent, mais moins épais. Argile ocre, de la couleur thasienne la plus courante. Même qualité de vernis, à peine plus foncé. A 4291. Pl. VD. Même composition que sur le vase précédent, mais les frises respectives ont des hauteurs différentes. En haut de la vasque, une bande constituée d'un filet rouge, flanquée de filets blancs et bruns. Sur la frise animalière, plus haute que sur la lékanè précédente, un taureau vers la gauche, dont l'encolure, avec ses fanons, est rehaussée de rouge ainsi que l'arrière-train, d'un point, est affronté à un sanglier vers la droite, à la crinière rehaussée de rouge. Le remplissage compact reprend des motifs vus sur le vase précédent : les cercles pointés et les traits courts suspendus au cadre des filets, les volutes servant de base à des éléments floraux. La zone de méandres continus, beaucoup moins volumineuse que sur l'exemplaire précédent, est flanquée de deux bandes noires rehaussées de filets blancs et d'un rouge au centre. À l'intérieur de la vasque, restes de doubles filets rouges, au niveau du dos des animaux"
1245;"Cinq fragments dont trois recollent, de bord et de vasque. Diam. du rebord : 38 cm. Profil fig. 5, p. 197. A 4292. Pl. VII. Le rebord et le bord sont identiques à 1; un chevron est rehaussé de rouge. En haut de la vasque, une bande vernie rehaussée d'un trait rouge, puis d'un blanc. Sur la frise animalière, un félin imposant vers la gauche, dont il reste l'arrière-train, tourne le dos à un sanglier de taille plus modeste vers la droite, au-dessus de l'anse. Des rehauts rouges sur la ligne du ventre du sanglier, et des points rouges sur les arrière-trains. Le remplissage compact conserve la référence au passé, sous la forme de languettes et de courts traits accrochés au cadre et confirme la référence corinthianisante avec les croix, les traits, les points, les taches qui commencent à envahir le fond ; enfin, on voit apparaître deux types nouveaux de rosettes qui ne se rencontrent que chez ce peintre : le premier (entre les deux animaux) est rudimentaire et s'inspire par le dessin disjoint des pétales, parfois rehaussés de rouge, de modèles nord-ioniens10 ; le second, sous le ventre du lion, présente des pétales dessinés au trait et pointés. Là encore, le dessin des pétales renvoie à l'Ionie du Nord11 • Après la traditionnelle bande de séparation, vernie, rehaussée d'une bande rouge, flanquée de filets blancs, une zone de godrons pointés. La languette de droite est rehaussée de rouge. "
1246;"Treize fragments de bord et de vasque. Diam. : 36 cm. Argile de consistance et de couleur thasienne en surface, tirant sur la couleur brique dans la tranche et sur certains fragments. Vernis viré par endroit au rouge à la cuisson. La couverte a disparu sur certains fragments. Profil fig. 5, p. 197. A 4290. Pl. VII. Sur le rebord, de courtes languettes obliques. il n'y a pas de filet verni entre le bord et le rebord. Sur le bord, un méandre continu. Sur la vasque, de part et d'autre de la frise animalière, des zones de Z encadrés de bandes vernies, rehaussées d'un filet central rouge, flanqué de deux blancs. À l'approche de l'anse, la taille des Z diminue considérablement, ce qui désigne Je point de raccord aux alentours de l'anse, conformément à des habitudes qui se retrouveront plus tard dans l'atelier. Les Z sont rehaussés de rouge, environ tous les cinq exemplaires. Cette zone se retrouve de part et d'autre de la frise animalière. De cette frise, sont conservés des bouquetins vers la gauche (au moins deux, voire trois, si la tête du petit fragment n'appartient pas au corps qui suit) et trois sangliers vers la droite. Les sangliers ne sont pas dessinés d'après nature. On remarque une faute propre à ce peintre dans le rendu anatomique des parties génitales placées, comme s'il s'agissait d'un bouquetin ou d'un taureau, sous le ventre et non sous la queue en tire-bouchon. On retrouve des contaminations dans le dessin des pattes des sangliers et des bouquetins, ce qui confirme le caractère décoratif et non réaliste des frises animalières. Devant la tête du sanglier, à gauche, deux traits horizontaux peuvent correspondre aux cornes d'un taureau (cf. 2). L'évolution du remplissage conforte les analyses précédentes : la référence à la phase antérieure de l'atelier, sous la forme de languettes pointées accrochées au cadre, de svastikas et de volute, s'atténue ; les files de points, inspirées du Corinthien Moyen, s'amplifient. La rosette propre à ce peintre se retrouve, à deux reprises, devant la tête du bouquetin et du sanglier. Quant à la rosette de points, derrière le sanglier de droite, dont le cœur est formé de deux cercles périphériques, on La retrouve, en abondance, chez le Peintre chiote, son contemporain. Au-dessus de la seconde zone de Z, les godrons présentent le feston caractéristique (inachevé). La coquetterie du point intercalaire est également un emprunt au Peintre chiote. Deux filets avant la zone suivante. À l'intérieur, des filets fins et violets sur le plat du rebord, peut-être au nombre de deux, et cinq filets fins (ce qui est une rareté), à la naissance du bord et de la vasque. "
1247;"Fragment de bord. Diam. du rebord : 38 cm. KAHIL, p. 27, pl. VII, 34. Profil fig. 5, p. 197. L 10594, 17. Sur le rebord, des chevrons rehaussés de rouge de quatre en quatre. Sur le bord, des godrons rehaussés de rouge tous les deux exemplaires, cerclés d'un feston et pointés, comme sur 4. Sur le plat du rebord, au moins un filet violet, comme sur 1 et 4."
1248;"Neuf fragments dont six collés par groupes de deux et de quatre. Diam. du marli : 56 cm. Argile de consistance et de couleur ocre, typiquement thasienne. Une couverte beige. Un fragment de ce plat est publié dans BCH 102 (1978), p. 827, fig. 32, comme fragment de plat orientalisant. Profil fig. 5, p. 197. A 4300. Pl. VID. Sur le marli incurvé, une bande vernie rehaussée de filets rouges et blancs. Suit une zone de godrons typiques du peintre : le feston pointé s'incurve sans faire le tour de l'extrémité des languettes. La périphérie du fond est décorée d'un méandre qui court entre des bandes vernies, rehaussées de filets rouges et blancs. Le filet rouge est ponctué de points blancs. La frise animalière de plus grand diamètre a conservé un sanglier vers la gauche et au moins deux griffons vers la droite. Le griffon bien conservé offre un parallèle exact à l'arrière-train du dernier animal, qui se laisse ainsi restituer. Le fragment flottant pourrait correspondre à sa tête : on reconnaît le traitement du cou, la spirale jaillissant du crâne, l'oreille dressée. Le fragment à droite, moins épais, pourrait appartenir au même vase : sur la patte arrière d'un animal vers la gauche, peut-être un sanglier dont on verrait alors les testicules, des traces d'incisions fourniraient un jalon supplémentaire dans l'appropriation par le peintre de la nouvelle technique de la figure noire. Le remplissage de rosettes variées, de svastikas, de godrons accrochés au cadre du filet, de points et de traits qui remplissent le champ, à la mode corinthienne, est caractéristique. La zone secondaire de méandres est exactement symétrique à la première ; on retrouve les bandes vernies, rehaussées de filets rouges et blancs. Sur la petite frise, un sanglier vers la gauche. Comme le précédent, il se distingue par le dessin signé de sa crinière, rehaussée de rouge, et par le rendu fautif des parties génitales. "
1249;"Diam. max. conservé : 46 cm. Argile d'un orangé chamois canonique. Une couverte très légère. Le profil du marli est très vertical ; la moulure interne est placée très bas, à l'intersection du marli et du fond; sur l'avers, à la naissance du fond, un pied triplement mouluré qui se rencontre aussi dans la production du Peintre chiote, diffère des deux plats suivants. Profil fig. 5, p. 197. L 10594, 21. Pl. VID. Sur le marli, des godrons de style ancien, avec le feston indépendant qui contourne chaque languette. Sur le fond, le méandre si prisé du peintre. D'après les parallèles fournis par les lékanai, les larges bandes vernies qui le flanquent devaient être rehaussées de filets rouges et blancs. "
1250;"Trois fragments dont deux collés. Le plat est plus petit et plus mince que le précédent. Ht. max. du fragment à la panthère : 8 mm. Ép. : 8 mm. L'avers du fond ne présente aucune moulure. L 10594, 21. Pl. VID. On retrouve une composition analogue à celle du plat précédent : une frise animalière et des zones secondaires de méandres, flanquées de bandes vernies, rehaussées de filets blancs. Aucune trace de filet rouge n'est conservée. À la périphérie du plat, d'infimes traces vernies peuvent s'interpréter comme les restes de godrons caractéristiques du peintre : deux filets courbes correspondraient au feston inachevé et la tache centrale, à l'extrémité de la languette. Sur la frise animalière, des félins sont conservés, dont une panthère. Cet animal, courant dans la production à figures noires du peintre, est rare dans la technique du réservé. Sa tête fait l'effet d'un triangle qui se prolonge en un long nez, flanqué de moustaches. Devant elle, une large courbe plongeante, dont on devine qu'elle était rehaussée de rouge, a toute chance de correspondre à la crinière d'un sanglier. Le remplissage est constitué d'éléments cycladiques (les volutes accrochées au cadre du filet), ioniens du Nord (les files de courts traits accrochés au cadre du filet). On retrouve les rosettes de points au cœur volumineux et verni, les godrons attachés au cadre du filet. Entre la panthère et le sanglier, une rosette aux pétales pointés. Elle se rencontre aussi chez un autre peintre (30). "
1251;"Trois fragments, dont deux collés. Diam. : plus de 50 cm. Ép. du marli : 1,3 cm au centre; du fond : 1,1 cm. Argile identique. Même couverte beige. Profil fig. 5, p. 197. A 3645. Pl. 1. Le marli est décoré d'une frise animalière : deux sangliers vers la gauche, deux félins, dont un lion, vers la droite. Les crinières et le bas des ventres sont rehaussés de rouge. Les queues félines finissent par un toupet, barré d'un trait rouge. Les détails, traités dans la technique de la pseudo-incision, sont notés par des traits blancs : le contour des mèches rouges de la crinière du lion, les plis de son mufle. LA PREMIÈRE GÉNÉRATION DES PEINTRES THASIENS 13 La ligne de l'omoplate et les côtes sur tous les animaux sont notées par de courtes lignes blanches et sinueuses qui flanquent un rehaut rouge. Le fond du plat est décoré d'une frise de méandres, flanquée de bandes vernies rehaussées de filets rouges et de points blancs. L'essentiel du fond est occupé par une scène à figures humaines. Deux guerriers se dirigent vers la droite. Les membres ont tous une couleur ocre, le « ton de chair » bien connu dans diverses fabriques orientalisantes polychromes et à Thasos même. La jambe d'un guerrier mort se devine derrière et entre les jambes du personnage de droite. Deux blessures. au-dessus du genoux et sur la cuisse, sont rendues par des traits rouges sinueux. Les guerriers en marche sont chaussés de cnémides noires et de cuissardes dessinées au trait. Le bouclier est vu de l'intérieur; l'avant-bras est passé dans la courroie et la main gauche tient l'antilabè. La tunique courte est décorée de méandres, à moins qu'il s'agisse du rendu du lambrequin. Sur le second fragment, un nouveau guerrier vers la gauche, armé de son bouclier. L'orbe est décorée d'une file de points, comme sur les aryballes aux guerriers corinthiens. L'attribution de cette pièce au Peintre passéiste tient compte des zones secondaires (méandre flanqué de bandes vernies, rehaussées de filets blancs et rouges), du remplissage de la frise animalière (svastikas, volutes cycladisantes, rosette chère au peintre) et du style animalier du marli : le sanglier fonctionne comme une signature, avec sa crinière rouge, caractéristique, et le dessin des parties génitales et de la queue. Cette dernière est, d'ailleurs, un critère supplémentaire pour distinguer ce peintre de ses collègues contemporains (cf. le rendu différent du Peintre chiote 42, 46, 47, 70. 76). Ce plat témoigne de la variété des recherches qu'occasionne l'appropriation d'une nouvelle technique. Alors que le style polychrome de la scène centrale renoue avec la grande tradition cycladique et thasienne du viie  siècle, la technique de la pseudo-figure noire fait son irruption sur le marli. Le rendu de l'anatomie des animaux par des lignes blanches, parallèles qui délimitent un espace rehaussé de rouge annoncent le type des incisions en figures noires (22, 23, 18 ... ). De même, le remplissage monotone de points au centre du plat se retrouve sur 21, 22, 23. Le style très corinthianisaot du défilé de guerriers et du remplissage de points n'est pas étonnant puisque l'influence de Corinthe, filtrée par les modèles nord-ioniens, est très sensible dans l'ensemble de l'œuvre du peintre. Les aryballes du corinthien moyen qui présentent les défilés de guerriers armés de leurs boucliers confirment la datation, à la fin du premier quart du siècle. Ce plat de transition atteste, comme le plat 124, le maintien relativement tardif de la technique polychrome à Thasos. "
1252;"Dix fragments dont deux recollent. Ht. de la lèvre : 2 cm. Ép. : 4 mm. L'argile présente dans la tranche un filet rose caractéristique. Le vernis a viré au marron par plaque. Couverte légère. A 4298. PI. Vlll. La lèvre est décorée de godrons pointés. Le haut arrondi de la vasque présente un décor vertical de carrés flanqués de doubles traits entre des filets triples et verticaux. Ce type de décor vertical indique la présence d'une anse. La métope voisine a conservé l'arrière-train d'un sanglier avec sa queue typique (4, 9). Le dessin fautif des parties génitales sous le ventre est en partie conservé, juste avant la cassure. Les points minuscules de remplissage et les petites croix ne se rencontrent, à Thasos, que chez ce peintre. Le bas de la vasque présente, à nouveau des godrons pointés, dont le feston est inachevé. Sous trois filets de séparation, une bande vernie. Il n'est plus possible, comme dans le cas suivant, de distinguer d'éventuels filets polychromes. "
