"Corpus","ID","Pi","Inventaire","Archimage","Num_Analyse","secteur_ID","annee","Famille","Catégorie","Type","Forme","Description","Bibliographie","Période","x","y"
"GROS2014","ASA05_141_026",,,,,86,"2005","Amphore de transport","Thasienne",,"Amphore","Trois fragments dont deux jointifs du col et de la base d’une amphore. Le sommet de l’anse élevé ainsi que la stratigraphie incitent à attribuer une date basse dans le courant du Ier siècle av. J.-C. sinon le Ier siècle ap. J.-C.","GROS 2014, fig. 2","Contexte fin Ier av. - deb Ier siècle ap. J.-C.",24.712860242,40.779244788
"GROS2014","AOA73_548",,"AOA73/548",,,42,"1973","Amphore de transport","Cos?","Dressel 2/4","Amphore","Fragments du col et des anses bifides d'une amphore peut-être de Cos.","GROS 2014, fig. 3","Haut-Empire",24.712389776,40.780123861
"GROS2014","YAN3682",,"YAN72/3682",,,179,"1972","Amphore de transport","Crètoise",,"Amphore","La partie supérieure d’une amphore type crétoise 4. La pâte est fine recouverte d’un engobe crème. Il ne s’agit pas du type le plus courant des amphores crétoises","GROS 2014, fig. 4","Contexte IIe siècle ap. J.-C.",24.712646138,40.775654691
"GROS2014","ASA07_041_039",,,,,86,,"Amphore de transport",,"Proto LRA2","Amphore","Quatre fragments du bord, du col et de l’épaule avec les deux anses de section ovale préservées. Pâte fine au cœur orangé rose et la surface pâle.","GROS 2014, fig. 5","Contexte du milieu du IIIe siècle ap. J.-C.",24.712860242,40.779244788
"GROS2014","ASA97_028_326",,,,,86,,"Amphore de transport",,"MRA7","Amphore","Deux fragments jointifs de la lèvre, du col et du départ d’une anse.","GROS 2014, fig. 6","Contexte du milieu du IIIe siècle ap. J.-C.",24.712860242,40.779244788
"GROS2014","ASA05_017_007",,,,,86,,"Amphore de transport",,"MRA5","Amphore","Deux fragments jointifs de la lèvre à l’épaule dont les anses sont préservées. Le sommet d’une des anses porte le monogramme X.","GROS 2014, fig. 7","Contexte du milieu du IIIe siècle ap. J.-C.",24.712860242,40.779244788
"GROS2014","AOA72_2091+72_2092",,"AOA72/2091+72/2092",,,42,,"Amphore de transport",,"LRA10","Amphore","Deux fragments du col, des anses et du fond, pâte rouge micacée à fins dégraissants.","GROS 2014, fig. 8",,24.712389776,40.780123861
"GROS2014","AOA72_2439",,"AOA72/2439",,,42,"1972","Fine","Bol à relief","attique","Bol","Fragments de bol à reliefs attique avec scène de chasse.","GROS 2014, fig. 9","Hellénistique",24.712389776,40.780123861
"GROS2014","YAN3589",,"YAN72/3589",,,179,"1972","Fine","cnidienne",,"Bol","Large fragment d’une coupe carénée préservée au tiers. La pâte orangée grise à cœur avec de nombreux dégraissants blancs. Contrairement à la série des coupes cnidiennes la partie basse est très peu inclinée.","GROS 2014, fig. 10","Contexte du IIe siècle ap. J.-C",24.712646138,40.775654691
"GROS2014","AOA73_625",,"AOA73/625",,,42,"1973","Fine","plat éphésien",,"Plat","Trois fragments de plat « éphésien » à rebord en amande . Pâte fine grise pâle (pinkish gray 7.5YR6/2) contenant de rares minuscules inclusions micacées argentées. Le revêtement noir est écaillé par endroit. Des traces de recollage indiquent que des fragments sont manquants ou ont été prélevés.
Peut-être le seul individu connu à Thasos de cette production qui est largement diffusée en Grèce .","GROS 2014, fig. 11","Contexte Ier ap. J.-C. ?",24.712389776,40.780123861
