"ID","Pi","Illustration","Secteur","Année","Famille","Catégorie","Type","Forme","Production","Description","Bibliographie","Période","x","y","secteur_ID"
"K2283","6939","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Skyphos",,"Fragment de la panse d'un skyphos attique à figures rouges présentant un drapé de vêtement aux plis droits. H. cons. 3,4 cm",,"Class",24.716190950,40.785092777,1
"K2284","6941","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Skyphos",,"Trois fragments jointifs de la panse d'un skyphos attique à figures rouges présentant deux vêtements distincts avec plis légèrement sinueux. L. cons. 4,55 cm ; H. cons. 3,2 cm",,"Class",24.716190950,40.785092777,1
"K2285","6930","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Coupe",,"Fragment de la panse d'une coupe attique à figures rouges présentant le bas d'un visage oval dans un himation. L. cons. ~3cm ; H. cons. 2,65 cm",,"Class",24.716190950,40.785092777,1
"K2288","6935","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Cratère (?)",,"Fragment de panse d'un cratère attique à figures rouges présentant un vêtement long. H. cons. 3,1 cm",,"Class",24.716190950,40.785092777,1
"K2289","6936","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Couvercle (?)",,"Fragment de bord de couvercle (?) attique à figures rouges avec frise circulaire réservée à deux rangs de points noirs alternés. L. cons. ~2,5 cm",,"Class",24.716190950,40.785092777,1
"K2290","6948","Photo de travail","Evraiocastro, sanctuaire de Déméter","1964","Fine","FR",,"Skyphos",,"Petit fragment du corps d'un skyphos attique à figures rouges présentant un drapé fouillé de vêtement. L. cons. 1,7 cm",,"Class",24.716190950,40.785092777,1
"K2301","6954",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Deux fragments jointifs de pied et de fond d'un skyphos. La surface de pose du pied présente un lavis rouge ; le fond présente un lavis rouge et, au centre, un point noir entouré d'un petit cercle noir. H. cons. 3,45 cm ; Diam. pied 7,1 cm. Vers 500 av. J.-C.",,"Arch",24.716190950,40.785092777,1
"K2302","6953",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Cinq fragments jointifs du pied annulaire et du bas de la panse d'un skyphos recouverts d'un vernis noir épais à l'exception de la surface de pose du pied et du fond en lavis rouge. H. cons. 2,75 cm ; Diam. pied 7 cm. Première moitié du Ve s.",,"Arch-Class ",24.716190950,40.785092777,1
"K2303","6964",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Deux fragments jointifs d'un pied annulaire et d'un fond de skyphos recouverts d'un vernis noir épais à l'exception de la surface de pose du pied et du fond en lavis rouge. Sur le bord du fond du vase, deux lettres gravées : la première, un delta se lit très distinctement, le seconde est dans la cassure, seul le bas d'une haste verticale est visible. H. cons. 3,4 cm ; Diam. pied  ~7,2 cm. Ve s.",,"Arch-Class ",24.716190950,40.785092777,1
"K2304","6963",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Fragment de pied annulaire, de fond et du bas de la panse. Vernis noir épais sur toute la surface à l'exception de la surface de pose du pied et du fond du skyphos en lavis rouge. H. cons. 3 cm. Vers 500 av. J.-C.",,"Arch",24.716190950,40.785092777,1
"K2305","6965",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Fragment de pied annulaire, de fond et du bas de la panse d'un skyphos. Vernis noir épais sur toute la surface à l'exception de la surface de pose du pied et du fond du skyphos en lavis rouge. H. cons. 3,3 cm ; diam. pied ~6,8 cm. Vers 500 av. J.-C.",,"Arch",24.716190950,40.785092777,1
"K2306","6958",,"Evraiocastro, sanctuaire de Déméter","1964","Fine","VN","Skyphos attique, type A","Skyphos",,"Trois fragments jointifs de la lèvre et du haut de la panse avec une anse d'un skyphos : lèvre simple, bord arrondi. Les anses horizontales en forme de fer à cheval sont appliquées juste sous le bord de la lèvre à l'aide de leurs extrémités en ""pastille""; les anses sont très légèrement levées. Vervis nois épais sur toute la surface. H. cons. 5,1 cm ; Diam. ouverture ~11 cm. Ve s.",,"Arch-Class ",24.716190950,40.785092777,1
