"ID","Numéro d’inventaire","Pi","Provenance","secteur_ID","Famille","Type","Catégorie","Forme","Dimensions","Groupe d’argile ","Description","Contexte","Datation ","Origine ","Num_Analyse","Groupe géochimique ","Bibliographie","Rangement au musée archéologique de Thasos ","x","y"
"THA.12","02.113.15",,"Terrain Héraklis Kokkinos",41,"Vase de stockage",,"Waveline","Hydrie","Larg. : 11,4 cm Haut. prés.: 5,5 cm Ép. paroi : 0,6 cm","Pâte de couleur rougeâtre (5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une grande quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Mince engobe rougeâtre. (Perron groupe THA.II)","Fragment de col et d’épaule. La jonction du col et de l’épaule est anguleuse. L’épaule est
orientée à l’horizontal par rapport au col. Décor : Le col est décoré d’une bande à ondulations hautes,
rapprochées et effilées. Un filet horizontal marque la base du col. L’épaule est décorée d’une seconde
bande ondulée (très effacée). Peinture mate de couleur rouge.","Fouilles Kohl, Muller et al. 2002. Réouverture du Sondage G1. ESP 4 (îlot 6-maison
paléochrétienne), unité stratigraphique (US) 113. Terre argileuse de couleur verdâtre, fine et compacte,
servant de liant au Mur 1 (base du mur F de Bernard). Tesson pris dans le liant du Mur 1. Fin du VIIe siècle
selon Bernard/fin du VIe siècle selon Kohl, Muller et al. 2002.","Dernier quart du VIe siècle av. J.-C.","Thasienne / Nord-Égéenne","XRF-THA-08(IPET)","Groupe 9 (Perron 2013)","Perron 2013, p. 757, no. THA.12, pl. 24. Pour le contexte de découverte, voir Bernard BCH 1964, figs. 1-2; Kohl, Muller et al. 2002, p. 57-71; Kohl, Muller et al. 2003, p. 490-493;","Rez-de-chaussée de l'apothèque française",24.715410036,40.780323600
"THA.44","10.165.12",,"Abords nord de l'Artémision (Thanar)",27,"Vase de stockage",,"Waveline","Hydrie ou Amphore de table","Larg. : 6,9 cm Haut. prés. : 4,8 cm Ép. paroi : 0,5 cm","Pâte brun pâle  (10YR 6/4), fine, dure, compacte, et renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires. Les
cassures en section sont nettes. La texture au toucher est sablonneuse. Mince engobe de même couleur que l’argile (Perron,  groupe THA.III). ","Fragment d’épaule décoré de deux traits curvilignes entrecoupés d’un trait horizontal (partie supérieure d’un motif floral). Peinture mate de couleur noire.","Domus 5, Pièce PCE 55, Sondage XI. Remblai archaïque (sable et gravier jaunâtre) sous le sol
d’occupation byzantin. Remblai contenant du matériel daté de la période 525-480 av. J.-C.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne","XRF-THA-27(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 767, no. THA.44, pl. 26. Pour le contexte de découverte, voir Muller, Dadaki, Pétridis et al. BCH 2014.","Rez-de-chaussée de l'apothèque française",24.715039152,40.780367769
"THA.43","10.171",,"Abords nord de l'Artémision (Thanar)",27,"Vase de stockage",,"Waveline","Hydrie ou Amphore de table","Larg. : 11,8 cm Haut. prés. : 10 cm Ép. paroi : 0,8 cm","Pâte de couleur rougeâtre (5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une grande quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.II)","Fragment d’épaule décorée d’un « X ». La partie inférieure de l’épaule est délimitée
par la présence de deux larges bandes horizontales. Peinture mate de couleur rouge.","Domus 5, Pièce PCE 55, Sondage XI. Remblai archaïque (sable et gravier jaunâtre) sous le sol
d’occupation byzantin. Remblai contenant du matériel daté de la période 525-480 av. J.-C.","Fin du VIe / Premier quart du Ve siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 767, no. THA.43, pl. 26. Pour le contexte de découverte, voir Muller, Dadaki, Pétridis et al. BCH 2014.","Rez-de-chaussée de l'apothèque française",24.715039152,40.780367769
"THA.56",,"1199","Champ Dimitriadis",7,"Vase de banquet ",,"à vernis noir local","Cratère à colonnettes","D. emb. : 36,7 cm D. base : 19,5 cm Haut. prés. : 33,5 cm","Pâte de couleur brun orangé (7.5YR 6/6), fine, dure et légèrement pulvérulentes, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Mince engobe brun pâle dan sles zones réservées. (Perron groupe THA.I)","Vase Complet. Cratère de forme élancée reposant sur une haute base conique moulurée. Les épaules sont arrondies et bien en retrait par rapport au col. Le rebord est plat et projeté vers l’extérieur. La tranche extérieure de la lèvre est biseautée et se prolonge vers le bas pour former un repli pendant. Deux paires d’anses tubulaires rejoignent des plaquettes en saillie disposées à l’horizontale. Décor : Extérieur :
Vernis noir sur presque toute la surface à l’exception de la tranche extérieure de la lèvre et de l’épaule qui sont décorées de languettes. La partie inférieure de la panse est décorée d’arêtes rayonnantes. Deux filets en rehauts rouges vers le milieu de la panse, une bande rouge sur la tranche de l’embouchure. Peinture mate de couleur rouge à brun.","Champ Dimitriadis. Fouilles de 1953.","Dernier tiers du VIe siècle av. J.-C.","Thasienne",,,"Études thasiennes VII, p. 60, no 44, pl. XXII ; Perron 2013, p. 771, no. THA.56, pl. 27.","Apothèque française. Étagère au-dessus des tables de travail",24.715595886,40.782279683
"THA.44bis","12.336.2",,"Abords nord de l'Artémision (Thanar)",27,"Vase de stockage",,"Waveline","Stamnos ou stamnos-cratère","Larg. : 18 cm Haut. prés. : 9,4 cm Ép. paroi : 0,5 cm","Pâte de couleur brun rougeâtre (7.5YR 6/6), fine, dure et renfermant une grande quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Mince engobe brun rougeâtre. (Perron groupe THA.II)","Fragment d’épaule munie d’une large anse verticale. L’épaule est divisée en quatre panneaux
décoratifs : la zone sous les anses est décorée d’un motif en forme de losange de type floral alors que les
panneaux principaux sont décorés de bandes ondulées à ondulations longues et courtes. Les ondulations butent contre des filets ondulés verticaux qui marquent la limite de la zone des anses. La partie inférieure de l’épaule est décorée de trois filets concentriques horizontaux réalisés au peigne suivis de deux larges bandes entrecoupées de filets horizontaux blancs. L’anse est peinte. Peinture mate de couleur noire à pourpre très
micacée.","Domus 5, Pièce PCE 55, Angle Nord-Est. Couche noire cendreuse sous le sol d’occupation
tardo-archaïque 10.172/12.334 et reposant sur le dallage de pierres USC.12.337. Couche contenant plusieurs coupes apodes et coupelles monoansées thasiennes, un fragment d’amphore « clazoménienne » décorée d’écailles de poisson et quelques importations à vernis noir attiques de la fin du VIe siècle. Couche scellée par l’épais remblai de sable tardo-archaïque USS.12.311.","Dernier quart du VIe siècle av. J.-C.","Thasienne ou nord-égéenne",,,"Perron 2013, p. 767, no. THA.44bis, pl. 26. Pour le contexte de découverte, voir Muller, Dadaki, Pétridis et al. BCH 2014.","Rez-de-chaussée de l'apothèque française",24.715039152,40.780367769
"THA.72",,"1303","Champ Dimitriadis",7,"Vase de service ou de préparation",,"à bandes / à décor peint - languettes","Lékané","D. emb. : 36,8 cm Haut. prés. : 13 cm","Pâte de couleur rouge orangé (7.5YR 7/6), fine, dure, compacte, renfermant une
grande quantité de fines à moyennes particules de mica. Cassures en section nettes. Texture sablonneuse. Cuisson en milieu oxydant (Perron, groupe THA.Ia).","Profil complet (vase restauré). Le rebord est large, plat, de section rectangulaire, et projeté
vers l’extérieur. On note la présence de deux anses verticales en forme de « panier » dont la reconstitution
serait, selon Ghali-Kahil, inexacte. La vasque est courbe et très profonde. Décor : La surface supérieure du
rebord est décorée de plusieurs groupes de six traits parallèles disposés à la diagonale. Chaque groupe est disposé de manière contraire par rapport au groupe précédent. La partie supérieure de la vasque interne est peinte suivie d’un mince filet circulaire. Peinture semi-lustrée de couleur noire.","Inconnu","Seconde moitié du VIe siècle av. J.-C.","Thasienne",,,"Ghali-Kahil 1960, p. 32, no 32, pl. X ; Perron 2013, p. 777, no. THA.72, pl. 28, 57.","Apothèque française. Étagère au-dessus des tables de travail",24.715595886,40.782279683
"THA.83","53/345 D824",,"Champ Dimitriadis",7,"Vase de service ou de préparation",,"à décor peint - languettes","Lékané","D. emb. : 40 cm Larg. : 7,0 cm Haut. prés. : 3,8 cm Ép. paroi : 1,0 cm","Pâte de couleur rouge orangé (5YR 6/6 à 7.5YR 6/4), fine, dure,
compacte, renfermant une bonne quantité de fines à moyenne particules d’inclusions calcaires et de mica.
Cassures en section nettes. Texture lisse. Cuisson en milieu oxydant (Perron, groupe THA.Ia).","Large rebord plat projeté vers l’extérieur dont la surface supérieure est légèrement convexe. La vasque est rectiligne et semble profonde. Décor : La surface supérieure du rebord est décorée d’un groupe de cinq languettes parallèles. La tranche extérieure du rebord est peinte. La surface supérieure interne de la vasque est ornée d’une large bande. Peinture mate de couleur brune à noire.","Fouilles 1953. Base du remblai butant contre le mur érigé du côté de la rue et situé sous le sol 1
et au-dessus du sol 2.","Seconde moitié du VIe siècle av. J.-C.","Thasienne","XRF-THA-05(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 780, no. THA.83, pl. 29, 58. Pour le contexte de découverte, voir Chroniques de fouilles, BCH 78, 1954, p. 191-196.","Vestibule de la salle des marbres",24.715595886,40.782279683
"THA.16","60.11",,"Terrain Héraklis Kokkinos",41,"Vase de stockage",,"Waveline","Hydrie","Larg. : 7,8 cm Haut. prés. : 9,3 cm Ép. paroi : 0,6 cm","Pâte brun orangé (7.5YR 5/4), fine, dure, compacte, et renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires. Les
cassures en section sont nettes. La texture au toucher est sablonneuse. Mince engobe de même couleur que l’argile (Perron, groupe THA.III). ","Fragment d’épaule décoré de deux bandes ondulées parallèles qui butent contre deux filets
ondulés verticaux qui délimitent la zone de l’anse verticale. Les ondulations sont hautes, effilées et
exécutées de la droite vers la gauche. Une bande peinte délimite la jonction du col et de l’épaule. Peinture
mate de couleur brun foncé.","Fouilles Paul Bernard 1960. Sondage G1. Couche Z. Sous le sol du bâtiment CDEF (Bernard).
Cette occupation est datée de la période pré-coloniale (Période 3) par l’équipe Kohl, Muller et al. 2002.","Fin du VIIe siècle (tesson découvert en compagnie de céramiques du style de la chèvre sauvage, un cratère archaïque et une coupe ionienne de type B1)","Thasienne ?","XRF-THA-09(IPET)","Groupe 2 (Perron 2013)","Perron 2013, p. 758, no. THA.16, pl. 25.","Rez-de-chaussée de l'apothèque française",24.715410036,40.780323600
"THA.23","60.54/A50",,"Terrain Héraklis Kokkinos",41,"Vase de stockage",,"Waveline","Hydrie","Larg. : 11,1 cm Haut. prés. : 6,6 cm Ép. paroi : 0,5 cm","Pâte brun rougeâtre  (7.5YR 6/4), fine, dure, compacte, et renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires. Les
cassures en section sont nettes. La texture au toucher est sablonneuse. Mince engobe de même couleur que l’argile (Perron, groupe THA.III). ","Fragment de panse avec départ d’anse latérale. L’anse est de section ronde. Décor : La zone des anses est délimitée dans le haut et dans le bas par des bandes horizontales. Un trait courbe orne la
surface supérieure de l’anse. Ce trait se poursuit probablement sur la partie inférieure de la panse pour former un crochet. Peinture mate de couleur orangé.","Sondages Paul Bernard 1960. Secteur entre le sanctuaire des « divinités étrangères » et
l’Artémision. Sondage C. Rue Tréheux. Sondage contre le péribole du IVe siècle à 90 cm sous les dalles de la voie. Au-dessus du niveau primitif de la rue. Contexte daté du VIe siècle.","Première moitié du VIe siècle av. J.-C.?","Thasienne",,,"Perron 2013, p. 760, no. THA.23, pl. 25.","Rez-de-chaussée de l'apothèque française",24.715410036,40.780323600
"THA.48","62-36",,"Sondage Xanthopoulos 1962",118,"Vase de stockage",,"Waveline","Hydrie ou amphore de table","Larg. : 4,8 cm Haut. prés. : 4,1 cm Ép. paroi : 0,5 cm Larg. anse : 3,4 x 1,5 cm","Pâte de couleur brun orangé (7.5YR 6/6), fine, plus ou moins dure et légèrement pulvérulente, renfermant une bonne quantité de fines particules de mica et d’inclusions calcaires (points blancs pulvérulents). Les cassures en section sont nettes. Sans engobe. (Perron groupe THA.I)","Fragment d’anse verticale décorée d’un croisillon tressé. L’anse est de section ovale. Peinture mate de couleur noire.","Tesson probablement dégagé du lot archaïque situé au niveau de la plinthe du mur polygonal no 10 (sous la nappe phréatique) ou du remblai sableux couvrant le mur no 12 et contenant uniquement du matériel archaïque.","Seconde moitié du VIe siècle av. J.-C.","Thasienne",,,"Perron 2013, p. 769, no. THA.48, pl. 26. Pour le contexte de découverte, voir : Chroniques de fouilles, BCH 87, 1963, p. 846-854.","Rez-de-chaussée de l'apothèque française",24.711063467,40.777956568
